Year,Month,Year_Month,Orders,Revenue,Unit,ATV,AUR
2016,9,2016-09-01,1.0,134.97,3.0,134.97,44.99
2016,10,2016-10-01,265.0,40325.11,313.0,152.17022641509433,128.83421725239617
2016,11,2016-11-01,0.0,0.0,0.0,0.0,0.0
2016,12,2016-12-01,1.0,10.9,1.0,10.9,10.9
2017,1,2017-01-01,750.0,111798.36,913.0,149.06448,122.45165388828039
2017,2,2017-02-01,1653.0,234223.4,1858.0,141.69594676346037,126.062109795479
2017,3,2017-03-01,2546.0,359198.85,2897.0,141.0836017282011,123.98993786675871
2017,4,2017-04-01,2303.0,340669.68,2569.0,147.9243074250977,132.60789412222655
2017,5,2017-05-01,3546.0,489338.25,4004.0,137.99725042301185,122.21235014985015
2017,6,2017-06-01,3135.0,421923.37,3489.0,134.58480701754385,120.92959873889366
2017,7,2017-07-01,3872.0,481604.52,4416.0,124.3813326446281,109.05899456521739
2017,8,2017-08-01,4193.0,554699.7,4797.0,132.29184354877174,115.63470919324577
2017,9,2017-09-01,4150.0,607399.67,4737.0,146.36136626506024,128.22454507071987
2017,10,2017-10-01,4478.0,648247.65,5214.0,144.76276239392587,124.32827963176065
2017,11,2017-11-01,7289.0,987765.37,8475.0,135.51452462614898,116.55048613569322
2017,12,2017-12-01,5513.0,726033.1900000001,6187.0,131.694756031199,117.34818005495394
2018,1,2018-01-01,7069.0,924645.0,8037.0,130.80280096194653,115.04852556924226
2018,2,2018-02-01,6555.0,826437.13,7518.0,126.0773653699466,109.9277906358074
2018,3,2018-03-01,7003.0,953356.25,8017.0,136.13540625446237,118.91683297991767
2018,4,2018-04-01,6798.0,973534.09,7827.0,143.2088982053545,124.38151143477705
2018,5,2018-05-01,6749.0,977544.6900000001,7810.0,144.84289376203884,125.1657733674776
2018,6,2018-06-01,6099.0,856077.86,7010.0,140.36364322020003,122.12237660485022
2018,7,2018-07-01,6159.0,867953.46,6963.0,140.9244130540672,124.65222748815165
2018,8,2018-08-01,6351.0,838576.64,7142.0,132.03851991812314,117.4148193783254
