product_category_name_english,orders,avg_freight_value,total_freight_value
computers,199,48.57095477386935,9665.62
home_appliances_2,231,44.392077922077924,10254.57
furniture_mattress_and_upholstery,37,42.739729729729724,1581.37
kitchen_dining_laundry_garden_furniture,274,42.120401459854016,11540.99
furniture_bedroom,103,42.01378640776699,4327.42
office_furniture,1668,40.202068345323745,67057.05
small_appliances_home_oven_and_coffee,73,36.388219178082196,2656.34
furniture_living_room,495,35.74620202020202,17694.37
signaling_and_security,197,32.88091370558376,6477.54
industry_commerce_and_business,265,28.60577358490566,7580.53
luggage_accessories,1077,27.926174558960074,30076.49
musical_instruments,651,27.45219662058372,17871.38
agro_industry_and_commerce,206,27.36504854368932,5637.2
construction_tools_lights,301,24.88418604651163,7490.14
la_cuisine,14,23.825,333.55
small_appliances,658,23.334878419452888,15354.35
home_construction,596,22.843624161073823,13614.8
garden_tools,4268,22.645360824742266,96650.4
air_conditioning,289,22.598581314878892,6530.99
costruction_tools_garden,232,22.36060344827586,5187.66
baby,2982,22.235348759222,66305.81
construction_tools_construction,916,22.132663755458516,20273.52
cool_stuff,3718,21.914144701452393,81476.79
auto,4140,21.85702898550725,90488.1
christmas_supplies,150,21.27273333333333,3190.91
portable_kitchen_and_food_preparers,14,21.03,294.42
housewares,6795,21.010089771891096,142763.56
furniture_decor,8160,20.637528186274512,168402.23
security_and_services,2,20.61,41.22
construction_tools_safety,183,20.38688524590164,3730.8
pet_shop,1924,20.227941787941788,38918.56
dvds_blu_ray,61,20.118852459016395,1227.25
costruction_tools_tools,103,19.710873786407767,2030.22
home_confort,429,19.64981351981352,8429.77
party_supplies,42,19.528333333333336,820.19
art,197,19.43263959390863,3828.23
fashion_sport,29,19.414827586206897,563.03
sports_leisure,8431,19.38137350255011,163404.36
home_appliances,754,19.19005305039788,14469.3
health_beauty,9465,18.907322768092975,178957.81
computers_accessories,7644,18.838194662480376,143999.16
toys,4030,18.8026253101737,75774.58
fashion_shoes,257,18.72906614785992,4813.37
stationery,2466,18.567055961070558,45786.36
bed_bath_table,10953,18.42184789555373,201774.5
music,38,18.171315789473685,690.51
fixed_telephony,255,17.65227450980392,4501.33
[uncategorized],1537,17.546558230318805,26969.06
cine_photo,70,17.538714285714285,1227.71
consoles_games,1089,17.53384756657484,19094.36
market_place,305,17.43806557377049,5318.61
watches_gifts,5859,16.75305342208568,98156.14
electronics,2729,16.73842433125687,45679.159999999996
books_general_interest,537,16.53703910614525,8880.39
fashion_male_clothing,125,16.50096,2062.62
food_drink,269,16.337881040892196,4394.89
cds_dvds_musicals,14,16.070714285714285,224.98999999999998
books_technical,263,15.965171102661598,4198.84
perfumery,3340,15.87634131736527,53026.98
audio,362,15.703646408839779,5684.72
telephony,4430,15.652909706546275,69342.39
arts_and_craftmanship,24,15.422083333333333,370.13
fashion_bags_accessories,1985,15.394911838790932,30558.9
pc_gamer,8,15.39375,123.15
drinks,361,15.072770083102494,5441.27
flowers,33,14.814242424242424,488.87
tablets_printing_image,83,14.773493975903614,1226.2
diapers_and_hygiene,37,14.74054054054054,545.4
fashion_underwear_beach,127,14.598976377952756,1854.07
food,499,14.155370741482965,7063.53
home_comfort_2,30,13.677,410.31
fashio_female_clothing,45,12.966666666666667,583.5
books_imported,57,12.843508771929825,732.08
fashion_childrens_clothes,7,11.245714285714286,78.72
